key,pressDuration,pressTime,releaseTime,flightTime
KeyF,642.1999999284744,21519,22161.199999928474,144.70000004768372
KeyU,85.60000002384186,22305.899999976158,22391.5,19.09999990463257
KeyE,155.60000002384186,22410.599999904633,22566.199999928474,-79.69999992847443
KeyF,214.09999990463257,22486.5,22700.599999904633,-119.59999990463257
KeyA,311,22581,22892,-70.40000009536743
KeyH,89.90000009536743,22821.599999904633,22911.5,-141.10000002384186
KeyF,155.5,22770.399999976158,22925.899999976158,-45.89999997615814
KeyE,461.1999999284744,22880,23341.199999928474,-12
KeyJ,100.30000007152557,23329.199999928474,23429.5,165
KeyH,21.899999976158142,23594.5,23616.399999976158,-357.8000000715256
KeyF,403.3000000715256,23258.599999904633,23661.899999976158,174.39999997615814
KeyU,91.29999995231628,23836.299999952316,23927.599999904633,494.5
KeyF,6.700000047683716,24422.099999904633,24428.799999952316,-895
KeyE,1074.5,23533.799999952316,24608.299999952316,-911.8999999761581
KeyW,948.3999999761581,23696.399999976158,24644.799999952316,-65.60000002384186
KeyH,130.20000004768372,24579.199999928474,24709.399999976158,-171.30000007152557
KeyA,180.5,24538.099999904633,24718.599999904633,35.10000002384186
KeyI,59.200000047683716,24753.699999928474,24812.899999976158,-48.300000071525574
KeyU,96,24764.599999904633,24860.599999904633,-63.59999990463257
KeyE,172.09999990463257,24797,24969.099999904633,-440.39999997615814
KeyF,690.8000000715256,24528.699999928474,25219.5,-15.5
KeyJ,214.5,25204,25418.5,-170.70000004768372
KeyS,254.10000002384186,25247.799999952316,25501.899999976158,-98.20000004768372
KeyF,279.39999997615814,25403.699999928474,25683.099999904633,90.10000002384186
KeyH,16.600000023841858,25773.199999928474,25789.799999952316,13.600000023841858
KeyH,101.60000002384186,25803.399999976158,25905,227
KeyN,128.79999995231628,26132,26260.799999952316,-412
KeyF,502.60000002384186,25848.799999952316,26351.399999976158,382.7999999523163
KeyU,71.39999997615814,26734.199999928474,26805.599999904633,145.80000007152557
KeyH,16.100000023841858,26951.399999976158,26967.5,-25.40000009536743
KeyU,39.90000009536743,26942.099999904633,26982,21.399999976158142
KeyH,37.799999952316284,27003.399999976158,27041.199999928474,-209.69999992847443
KeyA,363.39999997615814,26831.5,27194.899999976158,-608.6000000238419
KeyF,1096.8999999761581,26586.299999952316,27683.199999928474,-74.89999997615814
KeyU,140.20000004768372,27608.299999952316,27748.5,-131.5
KeyE,330.2999999523163,27617,27947.299999952316,6.5
KeyB,80.89999997615814,27953.799999952316,28034.699999928474,-170.29999995231628
KeyF,262.89999997615814,27864.399999976158,28127.299999952316,61.10000002384186
KeyU,102.10000002384186,28188.399999976158,28290.5,165.19999992847443
KeyU,80.60000002384186,28455.699999928474,28536.299999952316,-98.39999997615814
KeyE,342.5,28437.899999976158,28780.399999976158,-102.89999997615814
KeyG,121.89999997615814,28677.5,28799.399999976158,70.19999992847443
KeyU,74.30000007152557,28869.599999904633,28943.899999976158,171.89999997615814
KeyU,69.89999997615814,29115.799999952316,29185.699999928474,-299.2999999523163
KeyF,307.7999999523163,28886.399999976158,29194.199999928474,125.30000007152557
KeyH,21,29319.5,29340.5,6.5
KeyF,74.59999990463257,29347,29421.599999904633,-376.7999999523163
KeyE,453.7999999523163,29044.799999952316,29498.599999904633,285.7000000476837
KeyU,87.39999997615814,29784.299999952316,29871.699999928474,-64.29999995231628
KeyW,130.39999997615814,29807.399999976158,29937.799999952316,10.799999952316284
KeyW,120.10000002384186,29948.599999904633,30068.699999928474,-52
KeyU,90.39999997615814,30016.699999928474,30107.099999904633,-358.6999999284744
KeyE,468.2999999523163,29748.399999976158,30216.699999928474,4.300000071525574
KeyH,89.59999990463257,30221,30310.599999904633,150.20000004768372
KeyH,64.89999997615814,30460.799999952316,30525.699999928474,170.70000004768372
KeyH,83.29999995231628,30696.399999976158,30779.699999928474,-371.1999999284744
KeyE,405.1999999284744,30408.5,30813.699999928474,130.39999997615814
KeyI,20.600000023841858,30944.099999904633,30964.699999928474,-12.799999952316284
KeyH,55.799999952316284,30951.899999976158,31007.699999928474,190
KeyE,298.3000000715256,31197.699999928474,31496,-108.60000002384186
KeyF,165,31387.399999976158,31552.399999976158,125.79999995231628
KeyH,19.600000023841858,31678.199999928474,31697.799999952316,-217.5
KeyA,341.89999997615814,31480.299999952316,31822.199999928474,356.89999997615814
